batch,Step,Period,TransNum,ActualSurplus,Efficiency,MarketPrice,OA,OB,TheoreticalSurplus
1,10,1,1,8.8,0.26666666666666666,29.63,29.63,32.48,33.0
1,14,1,2,14.400000000000002,0.43636363636363645,29.34,29.34,29.65,33.0
1,26,1,3,16.400000000000002,0.49696969696969706,26.85,26.54,26.85,33.0
1,39,1,4,17.000000000000004,0.5151515151515152,24.86,24.86,24.9,33.0
1,41,1,5,27.400000000000002,0.8303030303030303,29.28,29.28,29.29,33.0
1,48,1,6,30.400000000000002,0.9212121212121213,26.5,26.5,26.84,33.0
1,502,2,1,35.400000000000006,0.5363636363636365,24.0,24.0,24.59,33.0
1,507,2,2,45.60000000000001,0.690909090909091,26.84,24.8,26.84,33.0
1,511,2,3,51.2,0.7757575757575758,26.45,26.45,26.84,33.0
1,520,2,4,53.6,0.8121212121212121,24.9,24.86,24.9,33.0
1,533,2,5,60.8,0.9212121212121211,26.28,26.28,26.85,33.0
1,537,2,6,61.400000000000006,0.9303030303030304,24.69,24.69,24.9,33.0
1,1008,3,1,64.2,0.6484848484848486,24.2,24.2,26.09,33.0
1,1013,3,2,70.40000000000002,0.7111111111111114,24.82,24.82,26.86,33.0
1,1022,3,3,79.00000000000001,0.7979797979797981,24.74,24.74,26.86,33.0
1,1034,3,4,88.60000000000002,0.8949494949494952,25.51,25.51,26.85,33.0
1,1053,3,5,93.60000000000002,0.9454545454545457,24.68,24.68,25.5,33.0
1,1160,3,6,94.0,0.9494949494949495,24.76,24.76,24.78,33.0
1,1505,4,1,96.0,0.7272727272727273,25.0,25.0,26.66,33.0
1,1508,4,2,105.0,0.7954545454545454,24.64,24.64,26.85,33.0
1,1517,4,3,109.4,0.8287878787878789,25.1,24.9,25.1,33.0
1,1521,4,4,119.2,0.9030303030303031,25.28,25.28,26.85,33.0
1,1531,4,5,125.8,0.953030303030303,25.29,25.28,25.29,33.0
1,1560,4,6,126.60000000000001,0.9590909090909091,24.77,24.64,24.77,33.0
1,2004,5,1,129.4,0.7842424242424243,24.59,24.59,25.79,33.0
1,2007,5,2,139.99999999999997,0.8484848484848483,26.85,24.53,26.85,33.0
1,2010,5,3,144.0,0.8727272727272727,25.3,25.27,25.3,33.0
1,2017,5,4,152.20000000000002,0.9224242424242425,25.36,25.27,25.36,33.0
1,2025,5,5,158.60000000000002,0.9612121212121213,25.41,25.24,25.41,33.0
1,2038,5,6,159.6,0.9672727272727273,24.82,24.63,24.82,33.0
1,2501,6,1,167.39999999999998,0.8454545454545453,25.2,25.2,25.21,33.0
1,2517,6,2,178.2,0.8999999999999999,24.54,24.54,25.51,33.0
1,2523,6,3,184.6,0.9323232323232323,25.44,25.16,25.44,33.0
1,2532,6,4,188.8,0.9535353535353536,25.17,25.17,25.46,33.0
1,2537,6,5,191.8,0.9686868686868687,24.58,24.58,25.44,33.0
1,2594,6,6,192.4,0.9717171717171718,24.92,24.72,24.92,33.0
1,3003,7,1,200.4,0.8675324675324676,25.0,25.0,30.42,33.0
1,3006,7,2,206.20000000000002,0.8926406926406927,25.2,25.2,25.46,33.0
1,3013,7,3,209.0,0.9047619047619048,24.73,24.73,25.46,33.0
1,3020,7,4,219.4,0.9497835497835498,25.46,25.17,25.46,33.0
1,3025,7,5,220.39999999999998,0.954112554112554,24.57,24.57,24.78,33.0
1,3038,7,6,224.6,0.9722943722943723,25.09,25.09,25.46,33.0
1,3513,8,1,229.4,0.868939393939394,24.32,24.32,27.93,33.0
1,3516,8,2,237.59999999999997,0.8999999999999999,25.48,24.81,25.48,33.0
1,3522,8,3,244.59999999999997,0.9265151515151514,25.53,24.51,25.53,33.0
1,3540,8,4,255.2,0.9666666666666667,25.0,25.0,25.57,33.0
1,3551,8,5,257.6,0.9757575757575758,25.07,25.07,25.54,33.0
1,4002,9,1,267.59999999999997,0.9010101010101009,25.0,25.0,33.64,33.0
1,4009,9,2,271.2,0.9131313131313131,25.53,25.41,25.53,33.0
1,4018,9,3,278.0,0.936026936026936,25.6,24.74,25.6,33.0
1,4024,9,4,286.4,0.9643097643097642,25.0,25.0,25.61,33.0
1,4030,9,5,288.59999999999997,0.9717171717171716,25.17,25.17,25.62,33.0
1,4049,9,6,289.59999999999997,0.975084175084175,25.0,24.53,25.0,33.0
1,4503,10,1,298.2,0.9036363636363636,24.4,24.4,32.99,33.0
1,4510,10,2,300.59999999999997,0.9109090909090908,25.6,24.61,25.6,33.0
1,4514,10,3,311.6,0.9442424242424243,25.6,24.53,25.6,33.0
1,4523,10,4,312.40000000000003,0.9466666666666668,24.67,24.67,25.0,33.0
1,4532,10,5,316.0,0.9575757575757575,25.72,25.59,25.72,33.0
1,4562,10,6,322.0,0.9757575757575757,25.07,25.07,25.76,33.0
2,16,1,1,10.8,0.32727272727272727,32.88,27.54,32.88,33.0
2,24,1,2,17.8,0.5393939393939394,32.52,32.16,32.52,33.0
2,47,1,3,23.2,0.703030303030303,29.96,28.96,29.96,33.0
2,57,1,4,28.2,0.8545454545454545,26.76,25.84,26.76,33.0
2,69,1,5,30.599999999999998,0.9272727272727272,26.41,26.29,26.41,33.0
2,192,1,6,31.2,0.9454545454545454,24.51,24.51,24.99,33.0
2,502,2,1,37.4,0.5666666666666667,24.8,24.8,27.53,33.0
2,504,2,2,46.199999999999996,0.7,24.66,24.66,26.84,33.0
2,507,2,3,48.800000000000004,0.7393939393939395,24.81,24.8,24.81,33.0
2,510,2,4,58.199999999999996,0.8818181818181817,26.8,25.66,26.8,33.0
